id,cliente,valor,status,lat,lng,risco_score
74,Cliente 74,36922.91,Aprovada,-17.5043,-51.5112,42
75,Cliente 75,13972.7,Reprovada,-12.9488,-49.9027,29
76,Cliente 76,8756.78,Pendenciada,-11.2256,-54.1287,57
77,Cliente 77,17055.77,Fraude,-24.034,-55.0914,85
78,Cliente 78,25842.42,Aprovada,-28.572,-49.9651,58
79,Cliente 79,41339.91,Aprovada,-28.4563,-57.0483,1
80,Cliente 80,35489.64,Aprovada,-5.2471,-44.6391,24
81,Cliente 81,38514.85,Pendenciada,-22.6334,-41.6293,52
82,Cliente 82,24024.68,Aprovada,-10.8914,-58.7998,19
83,Cliente 83,17052.55,Aprovada,-13.1363,-54.2842,16
84,Cliente 84,1204.72,Aprovada,-21.5474,-49.6271,27
85,Cliente 85,38084.43,Aprovada,-26.5042,-41.7689,60
86,Cliente 86,23623.08,Aprovada,-5.1063,-43.0548,68
87,Cliente 87,20267.23,Aprovada,-26.907,-44.7442,41
88,Cliente 88,738.25,Aprovada,-12.8261,-37.6348,11
89,Cliente 89,37960.31,Aprovada,-12.9032,-54.3807,52
90,Cliente 90,36481.68,Aprovada,-15.4967,-46.6527,23
91,Cliente 91,46134.48,Aprovada,-5.665,-52.5967,8
92,Cliente 92,46383.61,Reprovada,-26.2873,-35.3127,11
93,Cliente 93,12638.43,Reprovada,-12.1072,-39.5414,56
94,Cliente 94,48490.61,Aprovada,-16.2476,-35.9012,21
95,Cliente 95,37058.28,Aprovada,-26.2257,-48.4532,66
96,Cliente 96,41763.24,Aprovada,-9.1258,-57.2748,62
97,Cliente 97,735.6,Aprovada,-19.654,-47.2664,59
98,Cliente 98,6825.36,Reprovada,-25.7578,-43.0869,5
99,Cliente 99,18106.32,Aprovada,-22.5569,-48.0558,18
100,Cliente 100,21460.78,Reprovada,-12.7833,-50.1158,70
101,Cliente 101,14961.57,Fraude,-9.6518,-35.3523,97
102,Cliente 102,7234.6,Aprovada,-26.7301,-54.2639,45
103,Cliente 103,7996.35,Pendenciada,-20.7883,-54.3014,2
104,Cliente 104,43087.64,Aprovada,-9.598,-40.6965,31
105,Cliente 105,26616.88,Aprovada,-17.503,-38.8649,55
106,Cliente 106,35663.12,Pendenciada,-29.4742,-38.0593,55
107,Cliente 107,33712.27,Aprovada,-11.9631,-57.8062,37
108,Cliente 108,44676.76,Aprovada,-21.7632,-37.8485,10
109,Cliente 109,47000.57,Pendenciada,-18.5924,-45.991,0
110,Cliente 110,47957.63,Aprovada,-24.0765,-56.5164,70
111,Cliente 111,32109.13,Fraude,-7.6891,-55.3608,85
112,Cliente 112,39157.97,Aprovada,-29.3429,-58.4915,5
113,Cliente 113,40566.45,Aprovada,-21.8832,-42.9616,12
114,Cliente 114,20522.98,Aprovada,-11.7093,-50.7426,18
115,Cliente 115,28656.14,Pendenciada,-9.0136,-57.0148,65
116,Cliente 116,22865.03,Aprovada,-24.7364,-49.3484,34
117,Cliente 117,19911.51,Aprovada,-29.851,-54.689,55
118,Cliente 118,49161.87,Reprovada,-13.0503,-43.2895,63
119,Cliente 119,1751.31,Aprovada,-14.8818,-56.1977,9
120,Cliente 120,48773.9,Aprovada,-11.005,-55.6114,22
121,Cliente 121,12094.9,Aprovada,-9.3909,-47.8191,32
122,Cliente 122,41783.25,Aprovada,-19.1751,-57.7955,55
123,Cliente 123,3442.75,Pendenciada,-18.0467,-59.6822,66
124,Cliente 124,16018.72,Pendenciada,-5.4971,-48.0735,29
125,Cliente 125,19899.33,Aprovada,-18.8415,-43.6519,1
126,Cliente 126,23374.1,Aprovada,-12.7959,-58.8163,56
127,Cliente 127,8226.06,Aprovada,-11.589,-40.0065,61
128,Cliente 128,26830.34,Aprovada,-18.303,-54.3152,51
129,Cliente 129,36824.31,Aprovada,-28.4546,-59.5314,49
130,Cliente 130,37911.03,Pendenciada,-20.7621,-58.5862,1
131,Cliente 131,2072.74,Aprovada,-21.5418,-53.0057,40
132,Cliente 132,14675.26,Aprovada,-19.0079,-45.1747,36
133,Cliente 133,40450.22,Fraude,-29.8848,-51.747,93
134,Cliente 134,1731.22,Aprovada,-27.5188,-53.1106,0
135,Cliente 135,26715.63,Aprovada,-12.9408,-38.5147,41
136,Cliente 136,47942.78,Aprovada,-10.901,-46.6388,69
137,Cliente 137,18681.36,Pendenciada,-25.2748,-47.63,26
138,Cliente 138,32633.45,Reprovada,-28.2928,-35.3876,10
139,Cliente 139,40464.18,Aprovada,-22.1855,-35.0752,38
140,Cliente 140,36500.49,Aprovada,-5.4344,-47.3106,4
141,Cliente 141,5166.44,Aprovada,-14.5779,-50.7302,17
142,Cliente 142,39984.45,Aprovada,-17.3711,-41.8029,13
143,Cliente 143,33426.24,Reprovada,-12.2239,-52.7987,31
144,Cliente 144,19809.3,Aprovada,-11.5572,-49.9546,25
145,Cliente 145,22522.77,Aprovada,-12.3181,-43.1291,18
146,Cliente 146,35774.83,Pendenciada,-18.8868,-46.9056,9
147,Cliente 147,41292.41,Aprovada,-10.0214,-47.1132,43
148,Cliente 148,4602.77,Aprovada,-26.9311,-39.0765,44
149,Cliente 149,41219.45,Aprovada,-22.8093,-54.0681,43
150,Cliente 150,19243.61,Aprovada,-14.3359,-43.7611,24
151,Cliente 151,6565.36,Aprovada,-16.6424,-36.5987,9
152,Cliente 152,37153.0,Aprovada,-10.3601,-58.6997,21
153,Cliente 153,27944.14,Pendenciada,-28.1281,-52.602,42
154,Cliente 154,12178.77,Aprovada,-6.0388,-38.6914,45
155,Cliente 155,45191.06,Aprovada,-22.9142,-46.2766,25
156,Cliente 156,3984.18,Aprovada,-10.29,-58.8001,34
157,Cliente 157,18657.16,Aprovada,-29.2162,-56.8183,56
158,Cliente 158,28680.97,Reprovada,-23.568,-51.9071,44
159,Cliente 159,23065.61,Fraude,-12.3963,-47.9214,92
160,Cliente 160,21590.68,Aprovada,-14.4392,-54.8801,52
161,Cliente 161,11932.99,Fraude,-24.7596,-35.1198,86
162,Cliente 162,14662.02,Aprovada,-21.972,-59.6315,67
163,Cliente 163,351.63,Aprovada,-13.6112,-58.5999,16
164,Cliente 164,20129.11,Aprovada,-6.8742,-42.2454,70
165,Cliente 165,27722.22,Aprovada,-23.3704,-47.72,45
166,Cliente 166,14259.28,Aprovada,-13.7878,-35.2651,17
167,Cliente 167,14838.11,Aprovada,-22.9575,-36.7084,21
168,Cliente 168,39901.04,Aprovada,-17.2707,-51.7142,6
169,Cliente 169,3789.36,Aprovada,-11.4647,-41.6563,24
170,Cliente 170,2964.04,Aprovada,-11.915,-35.262,41
171,Cliente 171,16902.61,Reprovada,-13.3399,-50.5744,36
172,Cliente 172,31748.15,Aprovada,-5.3604,-37.9851,33
173,Cliente 173,25948.0,Aprovada,-10.6818,-42.076,62
174,Cliente 174,46595.98,Aprovada,-19.8005,-53.8534,22
175,Cliente 175,3691.8,Reprovada,-11.8117,-50.9471,31
176,Cliente 176,22374.5,Reprovada,-23.3289,-50.043,43
177,Cliente 177,10588.09,Aprovada,-17.7994,-39.6966,1
178,Cliente 178,25874.15,Aprovada,-20.6044,-40.9415,19
179,Cliente 179,47958.33,Fraude,-20.0113,-50.0838,96
180,Cliente 180,42743.9,Aprovada,-21.7175,-57.4146,29
181,Cliente 181,841.67,Pendenciada,-8.7312,-39.4043,57
182,Cliente 182,23144.49,Pendenciada,-5.1052,-43.0069,57
183,Cliente 183,12272.18,Aprovada,-6.5368,-42.0064,17
184,Cliente 184,32508.99,Aprovada,-27.7804,-43.7567,30
185,Cliente 185,29697.93,Reprovada,-22.4499,-50.4101,60
186,Cliente 186,17617.88,Fraude,-25.004,-44.6754,93
187,Cliente 187,800.81,Aprovada,-8.2367,-38.3523,56
188,Cliente 188,11555.99,Pendenciada,-15.6069,-55.7835,48
189,Cliente 189,47663.06,Aprovada,-17.2844,-36.5614,0
190,Cliente 190,12459.64,Pendenciada,-5.1869,-52.7239,15
191,Cliente 191,14884.02,Aprovada,-5.389,-40.8763,2
192,Cliente 192,47174.44,Aprovada,-23.227,-46.8126,30
193,Cliente 193,22392.08,Pendenciada,-8.5221,-59.7039,17
194,Cliente 194,24607.29,Aprovada,-19.089,-35.6374,26
195,Cliente 195,19976.07,Aprovada,-10.0591,-53.5431,40
196,Cliente 196,17000.89,Aprovada,-17.1192,-51.9666,48
197,Cliente 197,31551.16,Aprovada,-15.6771,-56.9428,46
198,Cliente 198,43272.89,Aprovada,-24.1918,-44.1332,18
199,Cliente 199,520.67,Aprovada,-22.8551,-54.3976,22
200,Cliente 200,24580.73,Aprovada,-18.6738,-56.1634,49
201,Cliente 201,32930.72,Aprovada,-19.8396,-43.3919,32
202,Cliente 202,49643.4,Aprovada,-5.9171,-55.3654,22
203,Cliente 203,22396.64,Pendenciada,-8.6732,-35.5204,17
204,Cliente 204,13367.2,Pendenciada,-5.5097,-43.0875,11
205,Cliente 205,40376.52,Aprovada,-7.7577,-35.6292,4
206,Cliente 206,31526.8,Aprovada,-9.6294,-50.2441,48
207,Cliente 207,35815.08,Aprovada,-27.6009,-57.6226,14
208,Cliente 208,8145.76,Aprovada,-26.0273,-52.9984,10
209,Cliente 209,18629.99,Aprovada,-19.7457,-56.628,23
210,Cliente 210,43329.75,Pendenciada,-26.1781,-43.802,61
211,Cliente 211,25112.04,Aprovada,-17.1888,-36.4999,61
212,Cliente 212,39982.43,Aprovada,-6.1425,-37.3815,40
213,Cliente 213,49725.63,Aprovada,-16.9099,-54.6466,0
214,Cliente 214,31120.98,Aprovada,-27.1386,-48.3841,60
215,Cliente 215,8580.51,Fraude,-9.2913,-48.4573,97
216,Cliente 216,2147.71,Aprovada,-17.9276,-52.6131,42
217,Cliente 217,5916.89,Pendenciada,-23.268,-54.8268,13
218,Cliente 218,30386.73,Aprovada,-26.9873,-52.4155,16
219,Cliente 219,9450.12,Pendenciada,-21.8375,-36.8803,40
220,Cliente 220,9855.82,Aprovada,-29.6005,-46.9063,2
221,Cliente 221,35543.22,Reprovada,-9.5796,-38.1593,23
222,Cliente 222,41074.13,Aprovada,-11.7518,-43.3151,32
223,Cliente 223,39430.95,Aprovada,-27.1038,-46.1806,4
224,Cliente 224,8241.37,Aprovada,-14.021,-57.3636,67
225,Cliente 225,43658.87,Aprovada,-23.6213,-48.4995,0
226,Cliente 226,40038.62,Aprovada,-23.4727,-49.2994,3
227,Cliente 227,38283.45,Aprovada,-23.8252,-54.9552,37
228,Cliente 228,15509.7,Aprovada,-15.5497,-52.0768,38
229,Cliente 229,22671.52,Reprovada,-26.3253,-58.3025,20
230,Cliente 230,11959.39,Pendenciada,-22.4849,-42.0503,48
231,Cliente 231,6704.85,Aprovada,-20.5412,-48.712,29
232,Cliente 232,34888.57,Aprovada,-17.3555,-38.9791,19
233,Cliente 233,32468.64,Aprovada,-22.8029,-43.1496,32
234,Cliente 234,17228.45,Reprovada,-21.9677,-50.5433,65
235,Cliente 235,17054.61,Aprovada,-23.7112,-52.5362,55
236,Cliente 236,32794.73,Aprovada,-28.3511,-55.574,62
237,Cliente 237,14496.56,Reprovada,-16.541,-45.5154,62
238,Cliente 238,25219.73,Reprovada,-28.6745,-52.6855,13
239,Cliente 239,15959.91,Aprovada,-6.402,-48.6222,45
240,Cliente 240,44722.35,Reprovada,-13.2323,-45.6688,2
241,Cliente 241,18574.77,Fraude,-10.2426,-52.9095,95
242,Cliente 242,35586.29,Aprovada,-6.6592,-57.6549,34
243,Cliente 243,13027.23,Pendenciada,-25.0738,-38.0563,28
244,Cliente 244,20704.43,Aprovada,-23.2582,-40.6743,26
245,Cliente 245,27984.76,Aprovada,-23.5645,-43.8553,35
246,Cliente 246,31758.84,Pendenciada,-28.6297,-54.7821,13
247,Cliente 247,33055.0,Reprovada,-8.4152,-35.8034,3
248,Cliente 248,4153.06,Aprovada,-22.1945,-40.2236,67
249,Cliente 249,4757.7,Aprovada,-8.1122,-51.2629,56
250,Cliente 250,13775.23,Aprovada,-25.6569,-35.7372,63
251,Cliente 251,24069.52,Aprovada,-11.3946,-56.0857,17
252,Cliente 252,27755.8,Aprovada,-17.9514,-54.8723,34
253,Cliente 253,4217.73,Aprovada,-19.1044,-47.1745,39
254,Cliente 254,30384.58,Aprovada,-22.0709,-39.9472,67
255,Cliente 255,33818.24,Aprovada,-22.9581,-46.7926,10
256,Cliente 256,34364.76,Aprovada,-24.2282,-51.4316,3
257,Cliente 257,29770.87,Aprovada,-22.2551,-57.9443,6
258,Cliente 258,38224.37,Aprovada,-26.5297,-51.2265,29
259,Cliente 259,17898.39,Aprovada,-16.0615,-45.8029,50
260,Cliente 260,31148.04,Aprovada,-14.1191,-47.8449,1
261,Cliente 261,41069.91,Aprovada,-29.5774,-47.0067,23
262,Cliente 262,2181.57,Aprovada,-28.3475,-58.9499,11
263,Cliente 263,32041.94,Aprovada,-12.7883,-53.0571,11
264,Cliente 264,23061.61,Reprovada,-18.8823,-36.4492,19
265,Cliente 265,25421.48,Aprovada,-17.5671,-55.2894,25
266,Cliente 266,4214.74,Reprovada,-6.7923,-44.6743,66
267,Cliente 267,32161.69,Aprovada,-20.9939,-49.799,51
268,Cliente 268,44847.52,Fraude,-25.6883,-55.9337,100
269,Cliente 269,26062.01,Aprovada,-10.0565,-45.0872,29
270,Cliente 270,41458.31,Aprovada,-14.8104,-50.8437,69
271,Cliente 271,46712.92,Aprovada,-14.5371,-43.9036,13
272,Cliente 272,14447.53,Aprovada,-6.4227,-40.0988,51
273,Cliente 273,10659.47,Fraude,-18.9208,-59.2116,92
274,Cliente 274,22240.3,Aprovada,-16.2761,-59.7066,64
275,Cliente 275,5072.33,Aprovada,-12.7576,-36.1661,38
276,Cliente 276,34488.52,Pendenciada,-28.1428,-50.0515,0
277,Cliente 277,8664.35,Aprovada,-22.3912,-53.9208,69
278,Cliente 278,40415.22,Aprovada,-28.7264,-36.2107,49
279,Cliente 279,47911.46,Aprovada,-27.047,-42.6071,32
280,Cliente 280,21892.64,Aprovada,-10.7991,-45.6642,1
281,Cliente 281,4318.56,Reprovada,-22.457,-46.3784,52
282,Cliente 282,39669.72,Aprovada,-12.4471,-53.245,45
283,Cliente 283,26325.31,Aprovada,-14.1574,-49.1893,1
284,Cliente 284,40213.43,Aprovada,-10.1635,-52.839,52
285,Cliente 285,26841.81,Reprovada,-10.5703,-55.4606,45
286,Cliente 286,20154.22,Aprovada,-15.1834,-41.2006,67
287,Cliente 287,5025.97,Aprovada,-5.333,-53.7799,23
288,Cliente 288,706.61,Aprovada,-26.7299,-52.0873,21
289,Cliente 289,16946.27,Aprovada,-5.8587,-48.517,61
290,Cliente 290,11977.65,Aprovada,-24.6315,-55.3819,31
291,Cliente 291,44142.52,Aprovada,-27.1874,-44.7243,32
292,Cliente 292,40964.83,Reprovada,-26.1917,-44.5305,30
293,Cliente 293,9394.97,Aprovada,-16.5153,-56.8232,57
294,Cliente 294,49702.98,Fraude,-10.576,-36.3433,98
295,Cliente 295,15911.22,Pendenciada,-12.8467,-35.515,44
296,Cliente 296,792.39,Aprovada,-11.8715,-44.4304,9
297,Cliente 297,20376.03,Reprovada,-21.765,-43.6881,40
298,Cliente 298,39092.07,Reprovada,-7.7618,-52.2179,61
299,Cliente 299,13202.22,Aprovada,-21.202,-57.2728,25
300,Cliente 300,20774.79,Reprovada,-19.6542,-44.4068,52
301,Cliente 301,23454.39,Aprovada,-23.712,-46.9184,22
302,Cliente 302,47130.8,Aprovada,-17.7252,-46.1243,66
303,Cliente 303,23731.21,Aprovada,-23.5769,-48.0216,63
304,Cliente 304,21087.35,Reprovada,-29.6855,-54.5988,19
305,Cliente 305,21145.38,Aprovada,-20.4023,-43.132,70
306,Cliente 306,7350.21,Pendenciada,-11.9432,-38.6435,51
307,Cliente 307,39022.83,Pendenciada,-18.5319,-47.6731,55
308,Cliente 308,26433.67,Aprovada,-11.6913,-44.7477,18
309,Cliente 309,25674.11,Reprovada,-23.3936,-46.3343,15
310,Cliente 310,18550.58,Aprovada,-9.9975,-55.0089,37
311,Cliente 311,24403.69,Aprovada,-27.7419,-44.97,58
312,Cliente 312,23646.77,Pendenciada,-14.3795,-42.9218,18
313,Cliente 313,32384.51,Aprovada,-17.6734,-42.451,1
314,Cliente 314,10764.58,Aprovada,-18.4182,-54.6747,2
315,Cliente 315,33349.62,Aprovada,-20.8187,-37.8079,21
316,Cliente 316,35283.23,Aprovada,-15.0881,-52.1815,0
317,Cliente 317,12027.13,Aprovada,-6.131,-56.9599,62
318,Cliente 318,12936.36,Aprovada,-14.7736,-35.6202,62
319,Cliente 319,46733.95,Aprovada,-5.8131,-41.9733,22
320,Cliente 320,29203.16,Reprovada,-12.9498,-54.3845,10
321,Cliente 321,30129.68,Pendenciada,-21.1262,-58.4483,70
322,Cliente 322,21560.81,Aprovada,-17.2816,-42.2672,24
323,Cliente 323,22316.7,Aprovada,-16.62,-44.551,66
324,Cliente 324,45631.34,Aprovada,-22.5896,-35.1754,40
325,Cliente 325,35999.27,Pendenciada,-17.4765,-50.6662,36
326,Cliente 326,44210.25,Aprovada,-25.877,-43.4734,64
327,Cliente 327,7955.72,Aprovada,-16.2732,-56.6645,51
328,Cliente 328,20624.66,Aprovada,-25.5204,-55.2637,5
329,Cliente 329,3567.03,Aprovada,-17.663,-53.7486,3
330,Cliente 330,12593.52,Aprovada,-22.6749,-48.6693,42
331,Cliente 331,40482.79,Pendenciada,-29.9401,-50.4745,10
332,Cliente 332,49633.78,Aprovada,-26.2299,-51.1683,3
333,Cliente 333,21695.03,Reprovada,-13.637,-38.9078,66
334,Cliente 334,362.73,Reprovada,-17.3294,-48.5504,54
335,Cliente 335,7861.91,Aprovada,-24.3077,-56.538,4
336,Cliente 336,406.68,Aprovada,-18.4621,-42.154,41
337,Cliente 337,20200.31,Aprovada,-10.0086,-39.3195,60
338,Cliente 338,30448.92,Aprovada,-17.6997,-40.4721,42
339,Cliente 339,49815.1,Aprovada,-28.3271,-40.2266,61
340,Cliente 340,17965.85,Aprovada,-24.8256,-41.4826,17
341,Cliente 341,40242.62,Aprovada,-23.8291,-57.3733,9
342,Cliente 342,34744.84,Reprovada,-11.4785,-36.7788,7
343,Cliente 343,16006.41,Aprovada,-29.5608,-46.1996,37
344,Cliente 344,36094.96,Aprovada,-7.7166,-45.3911,32
345,Cliente 345,30740.96,Pendenciada,-9.9447,-57.9612,56
346,Cliente 346,42362.45,Aprovada,-21.3564,-59.3362,3
347,Cliente 347,5220.98,Aprovada,-25.2135,-52.0416,54
348,Cliente 348,49467.76,Aprovada,-10.7628,-58.1948,65
349,Cliente 349,1374.27,Aprovada,-25.1256,-43.0753,3
350,Cliente 350,25710.75,Aprovada,-24.7538,-49.3092,29
351,Cliente 351,24528.53,Pendenciada,-15.183,-50.7994,60
352,Cliente 352,46012.68,Aprovada,-6.4492,-56.5465,36
353,Cliente 353,12470.0,Aprovada,-8.8786,-59.7558,50
354,Cliente 354,21973.78,Aprovada,-27.9487,-54.6914,42
355,Cliente 355,8999.66,Aprovada,-29.8962,-39.3056,14
356,Cliente 356,39312.68,Reprovada,-28.6873,-59.7376,29
357,Cliente 357,24813.39,Aprovada,-14.9239,-44.4436,56
358,Cliente 358,48592.15,Aprovada,-15.9803,-45.2327,37
359,Cliente 359,46176.95,Pendenciada,-19.9734,-40.8189,6
360,Cliente 360,32379.82,Aprovada,-6.533,-54.9747,70
361,Cliente 361,2693.08,Aprovada,-8.7004,-46.8745,17
362,Cliente 362,5595.48,Aprovada,-21.9691,-43.8923,25
363,Cliente 363,7714.43,Aprovada,-13.1502,-46.0184,43
364,Cliente 364,12194.38,Aprovada,-17.625,-59.5337,24
365,Cliente 365,13323.26,Aprovada,-14.1151,-52.5179,1
366,Cliente 366,17323.79,Aprovada,-6.6299,-57.6772,3
367,Cliente 367,11341.32,Aprovada,-9.2654,-46.3324,37
368,Cliente 368,7231.18,Aprovada,-22.2339,-56.4404,59
369,Cliente 369,5067.78,Aprovada,-9.1223,-53.495,13
370,Cliente 370,3796.11,Aprovada,-11.9971,-54.9113,23
371,Cliente 371,21915.52,Aprovada,-7.4175,-46.2989,43
372,Cliente 372,21038.83,Aprovada,-27.5414,-39.8101,32
373,Cliente 373,33030.42,Aprovada,-12.0477,-54.4697,12
374,Cliente 374,36859.74,Aprovada,-21.2136,-53.2333,43
375,Cliente 375,19644.18,Aprovada,-12.0458,-53.8349,49
376,Cliente 376,658.02,Aprovada,-8.3722,-41.4617,39
377,Cliente 377,29478.64,Pendenciada,-13.3334,-36.6123,48
378,Cliente 378,4863.48,Fraude,-12.0375,-52.619,85
379,Cliente 379,49327.76,Pendenciada,-11.7639,-42.7984,33
380,Cliente 380,1808.85,Aprovada,-20.5296,-58.7502,38
381,Cliente 381,894.76,Reprovada,-24.2585,-58.3785,38
382,Cliente 382,21837.8,Aprovada,-8.1335,-57.747,36
383,Cliente 383,44039.41,Reprovada,-9.2508,-47.5391,51
384,Cliente 384,5698.66,Aprovada,-24.4155,-52.4771,22
385,Cliente 385,44992.63,Aprovada,-10.6788,-44.7019,18
386,Cliente 386,20540.75,Pendenciada,-12.2369,-54.8085,38
387,Cliente 387,1163.55,Aprovada,-5.2015,-36.2525,40
388,Cliente 388,5874.03,Aprovada,-14.6353,-40.7072,68
389,Cliente 389,49299.32,Aprovada,-23.8326,-45.7941,70
390,Cliente 390,44669.13,Aprovada,-24.8535,-42.4736,61
391,Cliente 391,37205.57,Reprovada,-29.2236,-48.4328,13
392,Cliente 392,34589.75,Aprovada,-15.412,-53.4681,28
393,Cliente 393,33390.76,Pendenciada,-19.6012,-45.7489,32
394,Cliente 394,3574.95,Reprovada,-11.5628,-47.2802,69
395,Cliente 395,24621.93,Aprovada,-15.1998,-50.9136,3
396,Cliente 396,2991.1,Aprovada,-28.5976,-57.966,58
397,Cliente 397,29452.38,Aprovada,-23.9151,-37.4578,4
398,Cliente 398,3862.71,Pendenciada,-26.2172,-40.6854,17
399,Cliente 399,11184.04,Aprovada,-24.2378,-35.9423,18
400,Cliente 400,37322.24,Aprovada,-23.1786,-54.545,39
401,Cliente 401,47033.94,Aprovada,-10.3787,-47.6522,4
402,Cliente 402,19108.43,Aprovada,-6.7695,-44.0224,42
403,Cliente 403,47898.07,Pendenciada,-15.7607,-38.2869,60
404,Cliente 404,2384.71,Fraude,-17.9997,-58.4825,85
405,Cliente 405,28701.75,Aprovada,-17.687,-50.9236,29
406,Cliente 406,9355.22,Aprovada,-28.6195,-46.0013,30
407,Cliente 407,30685.76,Aprovada,-17.8467,-50.1388,65
408,Cliente 408,4874.85,Aprovada,-27.9894,-58.714,66
409,Cliente 409,38610.98,Fraude,-26.1021,-52.9821,90
410,Cliente 410,7591.31,Aprovada,-14.1577,-53.9121,41
411,Cliente 411,43728.0,Pendenciada,-26.1151,-57.5265,53
