account_id,customer_id,branch_id,account_type,balance,open_date,status
24032,6995,10,Savings,38275.38,2025-01-08,Active
31510,46032,29,NRI,94236.68,2025-01-08,Active
33932,43883,54,Savings,8119.24,2025-01-08,Active
40596,25525,42,Salary,38804.23,2025-01-08,Active
50317,15045,56,Savings,23020.54,2025-01-08,Active
54983,19836,57,Salary,43205.67,2025-01-08,Active
56660,19676,1,Savings,15509.71,2025-01-08,Active
61589,44975,88,Salary,32001.19,2025-01-08,Active
63964,30207,29,Current,7168.35,2025-01-08,Dormant
65748,18380,42,Savings,30272.78,2025-01-08,Active
78809,42833,146,Current,55318.95,2025-01-08,Active
84640,24158,150,Savings,63845.96,2025-01-08,Active
1419,58685,1,Savings,8016.48,2025-01-09,Active
8161,1463,101,Savings,48820,2025-01-09,Closed
11539,54232,9,Savings,9334.1,2025-01-09,Active
13404,22505,48,Savings,44920.13,2025-01-09,Active
13955,34001,102,Current,20348.12,2025-01-09,Active
20547,6217,103,Current,39962.95,2025-01-09,Active
45482,17950,33,Savings,51372.06,2025-01-09,Dormant
61598,14033,24,Savings,2073.56,2025-01-09,Active
75980,49562,110,Current,65728.27,2025-01-09,Active
80569,12312,95,Savings,2015.77,2025-01-09,Dormant
92158,10890,44,Savings,7085.2,2025-01-09,Dormant
4789,22781,120,Current,4228.11,2025-01-10,Dormant
6704,639,1,Savings,56205.85,2025-01-10,Dormant
8621,1055,65,Fixed Deposit,6835.53,2025-01-10,Active
15343,52651,32,Savings,35183.36,2025-01-10,Active
16860,3876,73,Fixed Deposit,5836.06,2025-01-10,Active
32316,25544,65,Savings,35794.52,2025-01-10,Active
45544,44707,67,Savings,51710.23,2025-01-10,Active
46875,53270,16,Savings,88423.57,2025-01-10,Active
57945,52335,63,NRI,29167.44,2025-01-10,Active
62227,10400,29,Savings,20302.45,2025-01-10,Active
70830,19777,52,Fixed Deposit,123983.64,2025-01-10,Closed
71563,48082,38,Savings,137192.88,2025-01-10,Active
78950,6080,118,Current,673.21,2025-01-10,Active
8209,44732,125,Current,34327.22,2025-01-11,Active
37470,37717,150,NRI,23579.06,2025-01-11,Active
47405,33671,109,Savings,22509.18,2025-01-11,Active
53603,43929,63,Savings,85815.34,2025-01-11,Active
55470,30453,116,Salary,11652.65,2025-01-11,Active
55546,12888,9,Savings,31945.43,2025-01-11,Active
69693,42561,54,Salary,4736.48,2025-01-11,Active
88314,53819,135,Salary,151251.92,2025-01-11,Active
91352,32677,118,Fixed Deposit,100875.31,2025-01-11,Active
92101,13125,129,Salary,119841.23,2025-01-11,Dormant
93818,21537,138,Current,22176.73,2025-01-11,Active
14787,30350,74,Savings,51243.48,2025-01-12,Active
15762,13314,140,Salary,17570.59,2025-01-12,Active
18182,45618,28,Savings,52761.68,2025-01-12,Active
46517,54147,25,Current,22601.12,2025-01-12,Active
51804,23859,108,Savings,22716.31,2025-01-12,Active
54765,47629,65,Savings,728.05,2025-01-12,Active
56867,8780,69,Fixed Deposit,31055.09,2025-01-12,Active
76667,23268,34,Savings,1540.18,2025-01-12,Active
76888,57390,72,Savings,17324.78,2025-01-12,Active
82632,3589,39,Salary,9971.56,2025-01-12,Active
88880,16574,144,Current,90091.56,2025-01-12,Active
89410,12831,87,Salary,7559.25,2025-01-12,Active
8212,34148,116,Savings,3677.35,2025-01-13,Active
12704,2405,51,Savings,85519.49,2025-01-13,Active
20559,56758,142,Current,109681.2,2025-01-13,Active
31125,48984,53,Salary,31287.48,2025-01-13,Active
35902,65,48,Fixed Deposit,117469.91,2025-01-13,Dormant
45301,57842,134,Savings,37446.37,2025-01-13,Active
51962,7206,5,Savings,37539.7,2025-01-13,Active
67832,36411,112,Savings,2982.65,2025-01-13,Dormant
82648,31791,80,NRI,72701.04,2025-01-13,Active
1709,29502,26,Salary,53393.36,2025-01-14,Active
31911,46720,17,Savings,29736.74,2025-01-14,Active
33092,19589,141,Current,102685.92,2025-01-14,Active
33476,58855,86,Current,9327.88,2025-01-14,Active
41520,52141,80,Current,29499.59,2025-01-14,Active
50247,43623,134,Fixed Deposit,62080.41,2025-01-14,Active
66209,37030,128,Current,69291.4,2025-01-14,Active
66741,30431,87,Savings,10166.93,2025-01-14,Closed
71892,10954,48,Current,286848.94,2025-01-14,Active
79243,54137,76,Savings,11427,2025-01-14,Active
81322,48286,87,Salary,38335.74,2025-01-14,Active
91763,36332,97,Savings,19653.98,2025-01-14,Active
520,29164,21,Current,43821.42,2025-01-15,Active
9481,26053,113,Current,36118.59,2025-01-15,Active
16780,16521,39,Savings,15050.42,2025-01-15,Active
31992,19520,57,Savings,4930.34,2025-01-15,Dormant
37486,21205,37,Savings,288400.36,2025-01-15,Active
38970,20956,142,Savings,50053.86,2025-01-15,Active
46337,2734,128,Current,10699.2,2025-01-15,Active
46428,6737,96,Savings,43214.41,2025-01-15,Active
53112,48730,137,Current,73571.35,2025-01-15,Active
54815,42171,82,Savings,17446.16,2025-01-15,Active
58293,58944,142,Current,49350.2,2025-01-15,Dormant
58836,29166,134,Current,30963.09,2025-01-15,Dormant
72671,28506,44,Salary,4082.56,2025-01-15,Active
81131,26359,132,Savings,27396.49,2025-01-15,Active
170,9870,78,Current,21874.14,2025-01-16,Active
11984,5590,37,Fixed Deposit,35411.05,2025-01-16,Active
29235,11289,25,Savings,591.96,2025-01-16,Active
29517,28907,127,Savings,38886.24,2025-01-16,Active
42853,34498,29,NRI,80983.4,2025-01-16,Dormant
46526,28995,61,Savings,105175.8,2025-01-16,Closed
55980,6552,105,Savings,55175.24,2025-01-16,Active
61177,40890,126,Current,150450.56,2025-01-16,Active
62422,17968,47,Savings,168858.93,2025-01-16,Active
67787,29686,138,Salary,54773.46,2025-01-16,Active
69005,47070,57,Current,45150.27,2025-01-16,Active
85145,7721,7,Current,10166.89,2025-01-16,Active
92720,7322,77,Salary,17790.21,2025-01-16,Active
10128,54872,89,Current,128517.58,2025-01-17,Dormant
33513,4266,150,Salary,128094.35,2025-01-17,Active
53340,16091,82,Savings,18767.21,2025-01-17,Dormant
55785,55336,58,Savings,7463.4,2025-01-17,Active
56457,34910,28,Current,134771.54,2025-01-17,Active
61771,18390,40,Savings,83114.48,2025-01-17,Active
64774,43579,98,Savings,1603.74,2025-01-17,Closed
65019,16289,116,Fixed Deposit,80936.68,2025-01-17,Active
71751,13358,91,Savings,136890.28,2025-01-17,Active
77692,19215,12,Savings,10862.47,2025-01-17,Dormant
85959,26640,5,Savings,31765.36,2025-01-17,Active
92499,24954,54,Savings,18602.94,2025-01-17,Active
13933,29256,111,Current,2201.48,2025-01-18,Active
23124,27028,109,Savings,39480.43,2025-01-18,Active
27844,26110,139,Salary,66883.71,2025-01-18,Active
29294,44734,148,Current,7068.36,2025-01-18,Active
42466,31910,2,Salary,59785.92,2025-01-18,Active
44472,18517,46,Current,1375.22,2025-01-18,Active
47008,6412,128,Savings,36846.03,2025-01-18,Active
53611,25576,13,Salary,8452.53,2025-01-18,Active
56263,7951,45,Savings,36473.84,2025-01-18,Active
75545,6035,101,Savings,98404.06,2025-01-18,Closed
76377,19288,75,Savings,34555.4,2025-01-18,Active
78362,44101,20,Current,9705.63,2025-01-18,Active
81693,20504,24,Savings,44466.24,2025-01-18,Active
86369,6679,23,Salary,135764.71,2025-01-18,Active
28894,19946,23,Savings,14434.62,2025-01-19,Active
30265,12743,52,Salary,74277.61,2025-01-19,Closed
32993,38169,86,Salary,23397.92,2025-01-19,Active
38398,36268,140,Current,41100.26,2025-01-19,Active
39205,33102,121,Savings,12463.15,2025-01-19,Active
42307,10577,132,Current,72042.95,2025-01-19,Active
75859,20403,137,Savings,43286.71,2025-01-19,Active
76265,42342,34,Current,1088.42,2025-01-19,Active
77011,49844,9,NRI,14546.39,2025-01-19,Closed
85404,23866,138,Salary,40580.23,2025-01-19,Active
86696,6620,124,Savings,18572.46,2025-01-19,Active
87341,44102,61,Savings,19618.15,2025-01-19,Active
4010,46524,82,Salary,20932.87,2025-01-20,Active
12825,5210,26,Current,91036.36,2025-01-20,Dormant
49612,34782,24,Savings,62075.42,2025-01-20,Active
49817,43315,12,NRI,5011.21,2025-01-20,Active
66219,31441,14,Current,119753.51,2025-01-20,Active
70526,10557,134,Current,52771.91,2025-01-20,Active
76797,52100,15,Savings,5088.79,2025-01-20,Active
87600,23638,146,Current,47330.95,2025-01-20,Active
88231,43938,31,Current,38861.61,2025-01-20,Active
3575,42229,86,Fixed Deposit,30224.37,2025-01-21,Active
5573,14093,3,Savings,38852.24,2025-01-21,Active
23334,18770,62,Savings,23675.54,2025-01-21,Dormant
25179,6604,77,Savings,196775.9,2025-01-21,Active
27118,18784,98,Savings,24294.43,2025-01-21,Active
35112,12478,28,Savings,86019.41,2025-01-21,Active
54624,30423,43,Current,7858.71,2025-01-21,Active
64419,58364,124,Current,5682.45,2025-01-21,Closed
66751,47168,88,Savings,43506.56,2025-01-21,Active
92420,44245,31,Salary,9807.95,2025-01-21,Active
2493,14424,18,Current,12614.8,2025-01-22,Active
31265,57614,40,Savings,52224.97,2025-01-22,Closed
43746,21765,6,Savings,28509.11,2025-01-22,Active
51129,32408,11,Savings,5840.81,2025-01-22,Active
58370,25241,96,Savings,214436.82,2025-01-22,Active
71071,42791,101,Current,15490.87,2025-01-22,Active
84647,46914,10,Fixed Deposit,22619.68,2025-01-22,Active
91095,22442,123,Current,20312.52,2025-01-22,Active
2460,53837,63,Savings,113567.82,2025-01-23,Active
5967,671,126,Savings,42013.44,2025-01-23,Active
10311,45369,105,Current,1224.44,2025-01-23,Active
10574,41235,21,Salary,68247.86,2025-01-23,Active
23712,16468,119,Savings,31989.9,2025-01-23,Active
34446,13681,127,Savings,24859.57,2025-01-23,Active
38357,6928,9,Savings,13013.26,2025-01-23,Active
38903,35237,75,Fixed Deposit,110787.45,2025-01-23,Active
47603,42819,34,Savings,5178.86,2025-01-23,Active
54113,53308,7,Savings,5847.56,2025-01-23,Active
60911,33424,29,Savings,12207.85,2025-01-23,Active
65698,13864,107,Salary,1103.57,2025-01-23,Active
88930,4729,139,Salary,57826.73,2025-01-23,Active
91243,23967,82,Savings,79768.87,2025-01-23,Dormant
23228,20679,102,Savings,60060.48,2025-01-24,Active
39892,25980,89,Savings,89902.86,2025-01-24,Active
52113,27184,128,Savings,12067.01,2025-01-24,Active
72308,27277,78,Savings,66516.01,2025-01-24,Active
79932,49523,49,Savings,85028.51,2025-01-24,Closed
81785,30085,101,Savings,137169.92,2025-01-24,Active
90511,5890,97,Salary,14699.81,2025-01-24,Active
92998,10891,84,Salary,1435.21,2025-01-24,Active
93620,2780,48,Current,7144.51,2025-01-24,Active
6564,47914,130,Savings,14696.74,2025-01-25,Active
23208,1812,64,Fixed Deposit,36913.85,2025-01-25,Active
28416,35231,23,Savings,109323.69,2025-01-25,Active
46027,47669,9,Savings,5485.2,2025-01-25,Active
93261,2896,80,Fixed Deposit,71884.59,2025-01-25,Active
93927,6631,70,Savings,27551.3,2025-01-25,Active
10387,44184,21,Savings,66556.41,2025-01-26,Active
12602,25170,3,Savings,7001.49,2025-01-26,Active
14398,55970,64,Savings,68874.93,2025-01-26,Active
39342,48785,85,Current,18491.97,2025-01-26,Active
48633,13042,8,Savings,10397.44,2025-01-26,Active
52840,59318,100,Salary,30654.24,2025-01-26,Active
53319,50829,122,Current,33184.88,2025-01-26,Active
56367,50464,63,Fixed Deposit,11859.58,2025-01-26,Active
67780,6582,107,Savings,160866.88,2025-01-26,Active
6463,17933,144,Current,82481.92,2025-01-27,Active
12678,29401,22,Current,15720.32,2025-01-27,Active
13949,30448,72,Savings,97637.91,2025-01-27,Active
33119,1578,142,Current,10700.57,2025-01-27,Active
38857,15954,110,Current,31929.7,2025-01-27,Active
9275,13281,62,NRI,17269.99,2025-01-28,Active
11355,53540,63,Savings,92841.29,2025-01-28,Active
19135,4740,114,Savings,59325.86,2025-01-28,Active
27551,30211,129,Savings,246726.34,2025-01-28,Dormant
29820,21337,85,Current,70205.55,2025-01-28,Active
31777,32942,121,Savings,6104.36,2025-01-28,Active
35878,4198,28,NRI,15723.23,2025-01-28,Active
43926,46621,23,Salary,38083.43,2025-01-28,Dormant
53473,26945,14,Salary,20727.93,2025-01-28,Active
75775,52628,115,Fixed Deposit,71385.9,2025-01-28,Active
80420,27722,34,Savings,31861.53,2025-01-28,Active
83522,47935,123,Salary,4042.57,2025-01-28,Active
86215,54396,7,Salary,30692.26,2025-01-28,Active
92384,23248,98,Current,19586.89,2025-01-28,Active
9373,20151,22,Savings,44215.07,2025-01-29,Active
12799,22116,129,Current,17487.02,2025-01-29,Active
14557,30911,38,Savings,41924.92,2025-01-29,Active
14606,56528,29,Fixed Deposit,107173.15,2025-01-29,Active
27519,4295,133,Savings,29152.81,2025-01-29,Active
48969,55012,16,Current,8501.07,2025-01-29,Active
68108,38431,121,Savings,3772.5,2025-01-29,Active
70615,51751,31,NRI,25011.68,2025-01-29,Active
74296,39761,31,Savings,26433.46,2025-01-29,Active
75704,18984,136,Salary,95372.29,2025-01-29,Active
77399,27140,83,Current,27936.57,2025-01-29,Active
13510,24706,21,Savings,26172.98,2025-01-30,Active
16150,56307,83,Savings,8476.01,2025-01-30,Active
21957,10128,3,Fixed Deposit,69882.44,2025-01-30,Active
40838,36618,14,Salary,6529.61,2025-01-30,Active
48403,13696,69,Savings,217746.05,2025-01-30,Closed
53164,57972,43,Savings,37495.03,2025-01-30,Active
53567,3612,19,Savings,7988.14,2025-01-30,Dormant
62082,22094,106,Savings,3766.7,2025-01-30,Active
64805,56664,7,Savings,11703.63,2025-01-30,Active
76630,30495,86,Current,14213.21,2025-01-30,Active
17920,18832,127,Savings,128728.34,2025-01-31,Active
18248,46309,45,Savings,34594.24,2025-01-31,Active
28656,22410,131,Salary,17828.34,2025-01-31,Active
30121,31741,41,Fixed Deposit,42269.24,2025-01-31,Active
54272,41506,137,Savings,13926.36,2025-01-31,Active
60714,25533,9,NRI,33714.9,2025-01-31,Active
74186,41599,95,Savings,37498.17,2025-01-31,Dormant
76991,52718,82,Salary,50828.74,2025-01-31,Active
82201,46763,17,Salary,44203.25,2025-01-31,Active
83596,54398,10,Savings,43384.79,2025-01-31,Active
12627,54008,48,Savings,108911.72,2025-02-01,Active
15735,29776,24,Savings,12953.24,2025-02-01,Active
17083,31495,133,Current,64018.36,2025-02-01,Active
20239,41241,148,Savings,12033.05,2025-02-01,Closed
22030,3058,147,Savings,204261.46,2025-02-01,Active
23843,33587,133,Fixed Deposit,8743.31,2025-02-01,Active
47511,13823,139,Savings,41343.77,2025-02-01,Active
61452,10493,16,Savings,57379.78,2025-02-01,Active
75503,40790,4,Savings,19482.24,2025-02-01,Active
78451,44170,128,Savings,31855.67,2025-02-01,Active
79906,44959,64,Savings,17549.58,2025-02-01,Dormant
86286,53008,150,Salary,22659.94,2025-02-01,Active
93943,4938,149,Current,1293.36,2025-02-01,Active
15875,45575,87,Savings,6014.59,2025-02-02,Active
42161,53453,79,Salary,7201.06,2025-02-02,Active
45253,8758,93,Current,10968.8,2025-02-02,Dormant
45946,13478,85,Savings,101869.12,2025-02-02,Active
55931,32217,54,Fixed Deposit,121347.61,2025-02-02,Active
61599,3911,147,Salary,19705.35,2025-02-02,Active
63797,7574,122,Current,31866.8,2025-02-02,Active
71739,22408,16,Fixed Deposit,26240.8,2025-02-02,Dormant
91309,36488,95,Current,11662.45,2025-02-02,Active
268,45005,19,Current,54894.01,2025-02-03,Active
7763,30163,6,Savings,4461.97,2025-02-03,Closed
29368,10301,96,Savings,36997.73,2025-02-03,Active
42948,37477,53,Savings,25716.83,2025-02-03,Active
52528,40147,28,Current,15326.28,2025-02-03,Active
82324,46830,76,Savings,5710.04,2025-02-03,Active
82658,49911,4,Savings,53679.62,2025-02-03,Closed
4111,28669,111,Salary,10710.4,2025-02-04,Active
19087,8374,117,Current,22237.4,2025-02-04,Active
36973,41171,30,Savings,5512.34,2025-02-04,Active
39822,36846,125,Current,826.02,2025-02-04,Active
48448,41649,77,Salary,76828.14,2025-02-04,Closed
52621,44522,54,Savings,24284.66,2025-02-04,Active
58424,52044,27,Savings,64897.24,2025-02-04,Active
65199,15242,44,Current,15538.31,2025-02-04,Active
72363,59873,89,Savings,172174.92,2025-02-04,Active
80419,41065,32,Salary,63991.73,2025-02-04,Active
81286,9267,59,Savings,24485.48,2025-02-04,Dormant
6115,6425,57,Savings,38724.89,2025-02-05,Active
10697,12373,9,Savings,4537.74,2025-02-05,Active
21752,32137,27,Salary,44307.37,2025-02-05,Closed
26394,50631,129,Fixed Deposit,2444.15,2025-02-05,Active
29643,15852,115,Current,33920.9,2025-02-05,Active
30568,19657,60,Current,1397.99,2025-02-05,Active
38336,43441,107,Fixed Deposit,37323.71,2025-02-05,Active
42056,26854,123,Savings,26510.63,2025-02-05,Active
51995,54598,110,Savings,25450.09,2025-02-05,Active
58803,33820,140,Savings,2595.21,2025-02-05,Active
62258,11500,38,Savings,4537,2025-02-05,Active
67922,50836,27,Savings,58260.92,2025-02-05,Active
94076,45455,109,Savings,91554,2025-02-05,Active
29587,57932,82,Savings,10555.93,2025-02-06,Dormant
34367,56666,143,Savings,18451.97,2025-02-06,Active
44452,8133,5,Fixed Deposit,32189.08,2025-02-06,Active
49098,12152,79,Fixed Deposit,36150.47,2025-02-06,Active
53198,47268,62,Savings,8943.02,2025-02-06,Active
54151,47754,90,Fixed Deposit,6269.03,2025-02-06,Closed
59701,484,128,Savings,8737.22,2025-02-06,Active
60624,29636,110,Salary,73107.7,2025-02-06,Active
62004,22783,145,Current,994.84,2025-02-06,Active
70740,56619,17,Savings,3605.64,2025-02-06,Active
75521,5140,61,Salary,10447.13,2025-02-06,Dormant
75905,27153,16,Current,31884.66,2025-02-06,Active
82032,40462,29,Fixed Deposit,22445.08,2025-02-06,Active
726,1380,83,Savings,85645.31,2025-02-07,Active
12120,43623,65,Savings,100547.69,2025-02-07,Active
21515,29956,83,Savings,2075.64,2025-02-07,Active
22159,19567,3,Savings,24119.67,2025-02-07,Active
29391,25849,91,Savings,20025.23,2025-02-07,Active
30973,35073,20,Savings,16814.09,2025-02-07,Active
33961,22025,126,Current,27111.73,2025-02-07,Active
36705,33096,86,Savings,105050.45,2025-02-07,Active
42891,34854,24,Savings,14349.67,2025-02-07,Active
57699,21221,51,Savings,58070.82,2025-02-07,Active
60247,55816,13,Fixed Deposit,24557.3,2025-02-07,Active
62990,42896,88,Fixed Deposit,20160.56,2025-02-07,Active
70353,54409,51,Salary,66123.01,2025-02-07,Active
78593,4990,75,Salary,51464.21,2025-02-07,Active
81726,43490,24,NRI,7114.73,2025-02-07,Active
88111,14699,114,Savings,2848.43,2025-02-07,Active
89259,40055,140,Current,7956.44,2025-02-07,Closed
93199,54604,119,Salary,31135.79,2025-02-07,Active
7495,57486,131,Savings,14978.03,2025-02-08,Active
9147,49895,88,Salary,21683.29,2025-02-08,Active
37154,50747,96,Salary,46827.04,2025-02-08,Active
44244,26883,56,Salary,45778.81,2025-02-08,Active
55974,954,78,Salary,73214.35,2025-02-08,Dormant
59952,48295,107,Savings,32151.66,2025-02-08,Active
74248,19417,34,Current,13161.74,2025-02-08,Active
84327,3141,20,Current,6040.25,2025-02-08,Active
2215,36840,102,Fixed Deposit,31864.54,2025-02-09,Active
27669,59693,138,Savings,14407.43,2025-02-09,Active
37551,17781,61,Savings,60306.73,2025-02-09,Active
39137,36953,76,Fixed Deposit,26258.25,2025-02-09,Active
41272,17883,90,Fixed Deposit,2639.06,2025-02-09,Active
47109,18689,117,Savings,95978.49,2025-02-09,Active
49678,17067,68,Savings,142697.42,2025-02-09,Active
70910,34227,71,Fixed Deposit,20452.43,2025-02-09,Active
77238,15735,69,Salary,74860.89,2025-02-09,Dormant
89034,47302,34,Current,3770.32,2025-02-09,Active
89155,52325,120,Savings,114188.33,2025-02-09,Dormant
7975,10200,88,Salary,46705.36,2025-02-10,Closed
8737,24880,58,NRI,22268.34,2025-02-10,Active
26861,33388,18,Savings,13669.61,2025-02-10,Active
27899,18874,81,Savings,45256.22,2025-02-10,Active
28513,2714,67,Savings,55865.97,2025-02-10,Active
35449,30998,116,Savings,6687.83,2025-02-10,Active
70807,47818,89,Savings,32954.82,2025-02-10,Active
79708,30605,94,Savings,29733.78,2025-02-10,Active
5780,59422,133,Savings,41241.63,2025-02-11,Active
23042,26120,22,Savings,32189.13,2025-02-11,Active
25772,269,145,NRI,30863.79,2025-02-11,Active
36080,56425,119,Savings,27800.04,2025-02-11,Active
36107,47816,120,Savings,29684.02,2025-02-11,Active
40467,32375,84,Salary,17680.93,2025-02-11,Active
47515,50357,10,Salary,14028.93,2025-02-11,Active
47601,22866,3,NRI,48760.06,2025-02-11,Closed
50402,29257,74,Current,33491.49,2025-02-11,Active
68059,55194,76,Savings,120173.03,2025-02-11,Active
81557,7497,60,NRI,14358.32,2025-02-11,Dormant
24353,45053,91,Savings,33218.59,2025-02-12,Dormant
24912,15567,34,NRI,1545.23,2025-02-12,Active
28065,19048,1,Fixed Deposit,85592.27,2025-02-12,Dormant
59654,34330,75,Savings,37008.4,2025-02-12,Active
61573,54646,103,NRI,108873.6,2025-02-12,Active
67322,11923,64,Savings,35679.07,2025-02-12,Active
80887,29411,26,Savings,25926.84,2025-02-12,Active
88925,5542,96,Fixed Deposit,18758.62,2025-02-12,Active
93824,51037,148,Current,20572.09,2025-02-12,Active
3287,43979,17,Fixed Deposit,12617.6,2025-02-13,Active
8155,8364,111,Fixed Deposit,4087.17,2025-02-13,Active
10030,26098,37,Current,15062.23,2025-02-13,Dormant
28150,7899,12,Savings,71206.35,2025-02-13,Active
55217,44009,92,Fixed Deposit,102777.41,2025-02-13,Active
55288,3479,70,Savings,31754.54,2025-02-13,Active
65688,13668,18,Current,6493.82,2025-02-13,Active
84436,10408,112,Savings,28634.28,2025-02-13,Active
5825,33895,33,Fixed Deposit,23178.66,2025-02-14,Active
9755,4099,18,Savings,32875.92,2025-02-14,Closed
17112,11257,81,Savings,7852.11,2025-02-14,Dormant
23728,12771,139,Current,56936.39,2025-02-14,Active
24139,58485,146,Savings,55171.09,2025-02-14,Active
28204,11630,60,Savings,37893.5,2025-02-14,Closed
38377,33777,99,Savings,2532.26,2025-02-14,Active
38541,16639,120,NRI,26836.4,2025-02-14,Active
57193,52264,59,Savings,37408.86,2025-02-14,Active
59845,552,119,Current,423593.02,2025-02-14,Active
62080,8147,150,Current,83672.1,2025-02-14,Active
66910,25929,58,Current,24674.59,2025-02-14,Active
70555,42072,75,Savings,62183.73,2025-02-14,Active
72030,6115,44,Savings,33405.47,2025-02-14,Closed
75739,45740,148,Current,14689.23,2025-02-14,Active
77249,21757,117,Current,17485.41,2025-02-14,Active
4055,56342,139,Current,13852.15,2025-02-15,Active
5258,3479,27,Savings,79312.44,2025-02-15,Active
8003,53112,110,Savings,1815.06,2025-02-15,Active
8881,16376,22,Salary,36178.72,2025-02-15,Active
23377,6213,60,Savings,14664.22,2025-02-15,Active
31555,29007,144,Savings,17012.16,2025-02-15,Active
69533,22595,96,Savings,72322.53,2025-02-15,Active
71725,55815,62,Salary,17213.74,2025-02-15,Active
82850,41382,31,Savings,56777.85,2025-02-15,Dormant
88109,38545,125,Savings,51852.52,2025-02-15,Active
94683,19403,116,Savings,37993.89,2025-02-15,Active
2750,48433,22,Savings,8885.32,2025-02-16,Active
