id,cliente,valor,status,lat,lng,risco_score,ibge,municipio,uf,estado,occurred_at,regiao
69,Cliente 69,37175.97,Pendenciada,-21.9102,-44.2555,15,310360,Arantina,MG,Minas Gerais,2026-01-13T05:15:06,Sudeste
70,Cliente 70,38927.19,Fraude,-3.94858,-40.476,98,230310,Cariré,CE,Ceará,2026-02-11T12:38:26,Nordeste
71,Cliente 71,24470.36,Reprovada,-8.96306,-48.165,12,170330,Bom Jesus do Tocantins,TO,Tocantins,2026-01-26T17:59:32,Norte
72,Cliente 72,6989.99,Pendenciada,-3.47279,-41.5546,42,220270,Cocal,PI,Piauí,2026-02-17T20:43:34,Nordeste
73,Cliente 73,8674.64,Reprovada,-13.7729,-50.2814,25,521405,Mundo Novo,GO,Goiás,2026-04-30T12:08:50,Centro-Oeste
74,Cliente 74,36922.91,Aprovada,4.4799,-61.1477,42,140045,Pacaraima,RR,Roraima,2026-05-11T00:42:11,Norte
75,Cliente 75,13972.7,Reprovada,-6.44067,-37.6483,29,251280,Riacho dos Cavalos,PB,Paraíba,2026-06-04T07:17:08,Nordeste
76,Cliente 76,8756.78,Pendenciada,-21.7866,-49.2848,57,355590,Uru,SP,São Paulo,2026-07-20T10:07:05,Sudeste
77,Cliente 77,17055.77,Fraude,-26.6213,-48.7683,85,421635,São João do Itaperiú,SC,Santa Catarina,2026-06-25T02:17:28,Sul
78,Cliente 78,25842.42,Aprovada,-10.6443,-45.1893,58,220300,Cristalândia do Piauí,PI,Piauí,2026-02-24T04:39:01,Nordeste
79,Cliente 79,41339.91,Aprovada,-17.7398,-46.1715,1,313630,João Pinheiro,MG,Minas Gerais,2026-04-07T11:54:03,Sudeste
80,Cliente 80,35489.64,Aprovada,-7.84383,-35.3108,24,260845,Lagoa do Carro,PE,Pernambuco,2026-04-11T02:01:40,Nordeste
81,Cliente 81,38514.85,Pendenciada,-26.981,-49.7261,52,420510,Dona Emma,SC,Santa Catarina,2026-03-01T18:03:40,Sul
82,Cliente 82,24024.68,Aprovada,-23.7606,-51.4122,19,412210,Rio Bom,PR,Paraná,2026-06-05T16:50:55,Sul
83,Cliente 83,17052.55,Aprovada,-26.8782,-49.8328,16,421935,Vitor Meireles,SC,Santa Catarina,2026-07-25T14:07:49,Sul
84,Cliente 84,1204.72,Aprovada,-20.5396,-44.6336,27,311450,Carmópolis de Minas,MG,Minas Gerais,2026-02-12T06:38:28,Sudeste
85,Cliente 85,38084.43,Aprovada,-21.4872,-51.7024,60,353480,Ouro Verde,SP,São Paulo,2026-05-10T14:21:28,Sudeste
86,Cliente 86,23623.08,Aprovada,-20.5289,-41.9061,68,311210,Caparaó,MG,Minas Gerais,2026-02-09T05:01:19,Sudeste
87,Cliente 87,20267.23,Aprovada,-4.04351,-39.454,41,230460,General Sampaio,CE,Ceará,2026-03-12T17:36:32,Nordeste
88,Cliente 88,738.25,Aprovada,-5.47835,-44.0774,11,210462,Governador Luiz Rocha,MA,Maranhão,2026-03-14T10:38:09,Nordeste
89,Cliente 89,37960.31,Aprovada,-24.2058,-50.9185,52,411730,Ortigueira,PR,Paraná,2026-05-09T20:56:50,Sul
90,Cliente 90,36481.68,Aprovada,-21.8778,-45.087,23,311770,Conceição do Rio Verde,MG,Minas Gerais,2026-02-19T21:12:30,Sudeste
91,Cliente 91,46134.48,Aprovada,-18.7214,-39.8579,8,320490,São Mateus,ES,Espírito Santo,2026-06-29T09:50:45,Sudeste
92,Cliente 92,46383.61,Reprovada,-21.0932,-45.0896,11,314990,Perdões,MG,Minas Gerais,2026-05-20T04:38:33,Sudeste
93,Cliente 93,12638.43,Reprovada,-26.3471,-53.2771,56,421200,Palma Sola,SC,Santa Catarina,2026-05-12T00:28:30,Sul
94,Cliente 94,48490.61,Aprovada,-19.7548,-43.8497,21,315780,Santa Luzia,MG,Minas Gerais,2026-06-14T08:09:26,Sudeste
95,Cliente 95,37058.28,Aprovada,-15.9551,-39.5329,66,291630,Itapebi,BA,Bahia,2026-03-29T18:35:12,Nordeste
96,Cliente 96,41763.24,Aprovada,-21.9813,-42.2533,62,330245,Macuco,RJ,Rio de Janeiro,2026-04-16T18:50:19,Sudeste
97,Cliente 97,735.6,Aprovada,-4.45569,-38.9048,59,230290,Capistrano,CE,Ceará,2026-02-09T19:03:33,Nordeste
98,Cliente 98,6825.36,Reprovada,-25.8217,-53.4801,5,412380,Santa Izabel do Oeste,PR,Paraná,2026-06-13T23:49:45,Sul
99,Cliente 99,18106.32,Aprovada,-22.7858,-50.218,18,353530,Palmital,SP,São Paulo,2026-05-12T22:18:54,Sudeste
100,Cliente 100,21460.78,Reprovada,-3.19631,-41.6403,70,220191,Bom Princípio do Piauí,PI,Piauí,2026-01-26T21:16:34,Nordeste
101,Cliente 101,14961.57,Fraude,-8.39303,-35.0609,97,260720,Ipojuca,PE,Pernambuco,2026-03-25T06:48:18,Nordeste
102,Cliente 102,7234.6,Aprovada,-2.83939,-44.062,45,210110,Axixá,MA,Maranhão,2026-01-17T11:47:46,Nordeste
103,Cliente 103,7996.35,Pendenciada,-32.0151,-52.0331,2,431850,São José do Norte,RS,Rio Grande do Sul,2026-06-27T16:27:33,Sul
104,Cliente 104,43087.64,Aprovada,-21.2168,-44.6138,31,314450,Nazareno,MG,Minas Gerais,2026-05-01T21:42:45,Sudeste
105,Cliente 105,26616.88,Aprovada,-10.9068,-62.5564,55,110143,Nova União,RO,Rondônia,2026-05-06T19:09:00,Norte
106,Cliente 106,35663.12,Pendenciada,-19.2835,-42.0097,55,316840,Tarumirim,MG,Minas Gerais,2026-07-12T13:40:12,Sudeste
107,Cliente 107,33712.27,Aprovada,-6.96396,-35.6977,37,250110,Areia,PB,Paraíba,2026-01-14T16:12:44,Nordeste
108,Cliente 108,44676.76,Aprovada,-10.7982,-52.7486,10,510735,São José do Xingu,MT,Mato Grosso,2026-06-28T03:45:05,Centro-Oeste
109,Cliente 109,47000.57,Pendenciada,-16.7584,-52.8369,0,510670,Ponte Branca,MT,Mato Grosso,2026-05-26T18:59:14,Centro-Oeste
110,Cliente 110,47957.63,Aprovada,-23.0104,-45.5593,70,355410,Taubaté,SP,São Paulo,2026-07-12T17:03:45,Sudeste
111,Cliente 111,32109.13,Fraude,-8.08546,-37.6443,85,260510,Custódia,PE,Pernambuco,2026-02-26T15:39:42,Nordeste
112,Cliente 112,39157.97,Aprovada,-15.4473,-50.3622,5,520753,Faina,GO,Goiás,2026-03-06T13:33:48,Centro-Oeste
113,Cliente 113,40566.45,Aprovada,-8.23599,-41.6873,12,220965,São Francisco de Assis do Piauí,PI,Piauí,2026-06-22T13:56:15,Nordeste
114,Cliente 114,20522.98,Aprovada,-8.37982,-48.1072,18,171090,Itapiratins,TO,Tocantins,2026-03-30T13:50:00,Norte
115,Cliente 115,28656.14,Pendenciada,-29.5232,-53.5842,65,431075,Ivorá,RS,Rio Grande do Sul,2026-04-02T09:59:05,Sul
116,Cliente 116,22865.03,Aprovada,-20.2563,-45.2107,34,314890,Pedra do Indaiá,MG,Minas Gerais,2026-05-18T07:14:06,Sudeste
117,Cliente 117,19911.51,Aprovada,-20.0486,-50.4792,55,355530,Turmalina,SP,São Paulo,2026-07-18T07:17:32,Sudeste
118,Cliente 118,49161.87,Reprovada,-26.7729,-53.04,63,421090,Modelo,SC,Santa Catarina,2026-04-26T09:45:56,Sul
119,Cliente 119,1751.31,Aprovada,-14.6771,-52.3502,9,510625,Nova Xavantina,MT,Mato Grosso,2026-05-07T00:06:25,Centro-Oeste
120,Cliente 120,48773.9,Aprovada,-26.1441,-53.3113,22,411435,Manfrinópolis,PR,Paraná,2026-04-18T10:38:05,Sul
121,Cliente 121,12094.9,Aprovada,-13.1185,-42.2902,32,292690,Rio do Pires,BA,Bahia,2026-06-06T13:20:51,Nordeste
122,Cliente 122,41783.25,Aprovada,-16.8126,-50.4092,55,522005,São João da Paraúna,GO,Goiás,2026-06-24T11:18:45,Centro-Oeste
123,Cliente 123,3442.75,Pendenciada,-26.3045,-48.8487,66,420910,Joinville,SC,Santa Catarina,2026-04-07T21:04:50,Sul
124,Cliente 124,16018.72,Pendenciada,0.970761,-50.8005,29,160021,Cutias,AP,Amapá,2026-02-26T16:19:45,Norte
125,Cliente 125,19899.33,Aprovada,-14.9522,-49.5511,1,521090,Itapaci,GO,Goiás,2026-03-29T14:04:04,Centro-Oeste
126,Cliente 126,23374.1,Aprovada,-23.226,-47.9545,56,351160,Cesário Lange,SP,São Paulo,2026-02-15T22:27:57,Sudeste
127,Cliente 127,8226.06,Aprovada,-10.6904,-37.0357,61,280610,Rosário do Catete,SE,Sergipe,2026-06-09T01:49:47,Nordeste
128,Cliente 128,26830.34,Aprovada,-22.6412,-52.0905,51,411830,Paranapoema,PR,Paraná,2026-05-14T14:43:04,Sul
129,Cliente 129,36824.31,Aprovada,-17.5944,-44.7226,49,317080,Várzea da Palma,MG,Minas Gerais,2026-07-22T12:13:46,Sudeste
130,Cliente 130,37911.03,Pendenciada,-16.0651,-47.9757,1,522185,Valparaíso de Goiás,GO,Goiás,2026-07-21T16:59:23,Centro-Oeste
131,Cliente 131,2072.74,Aprovada,-27.2666,-50.4388,40,421605,São Cristovão do Sul,SC,Santa Catarina,2026-06-21T07:53:42,Sul
132,Cliente 132,14675.26,Aprovada,-29.8881,-50.2667,36,431350,Osório,RS,Rio Grande do Sul,2026-05-09T23:03:02,Sul
133,Cliente 133,40450.22,Fraude,-23.6187,-52.2203,93,411160,Ivatuba,PR,Paraná,2026-04-02T06:47:22,Sul
134,Cliente 134,1731.22,Aprovada,-8.5932,-48.9327,0,171665,Pequizeiro,TO,Tocantins,2026-05-20T01:49:51,Norte
135,Cliente 135,26715.63,Aprovada,-22.0685,-48.182,41,354290,Ribeirão Bonito,SP,São Paulo,2026-06-04T19:52:24,Sudeste
136,Cliente 136,47942.78,Aprovada,-27.5691,-53.9695,69,430970,Humaitá,RS,Rio Grande do Sul,2026-03-18T23:34:11,Sul
137,Cliente 137,18681.36,Pendenciada,-23.6813,-46.6205,26,351380,Diadema,SP,São Paulo,2026-02-27T15:36:19,Sudeste
138,Cliente 138,32633.45,Reprovada,-18.1896,-42.4139,10,315820,Santa Maria do Suaçuí,MG,Minas Gerais,2026-06-15T03:05:32,Sudeste
139,Cliente 139,40464.18,Aprovada,-14.7876,-39.2781,38,291480,Itabuna,BA,Bahia,2026-03-27T07:20:27,Nordeste
140,Cliente 140,36500.49,Aprovada,-13.6499,-48.8775,4,520810,Formoso,GO,Goiás,2026-03-09T20:39:48,Centro-Oeste
141,Cliente 141,5166.44,Aprovada,-20.3839,-42.2519,17,315790,Santa Margarida,MG,Minas Gerais,2026-06-14T14:16:00,Sudeste
142,Cliente 142,39984.45,Aprovada,-18.7399,-47.6956,13,312480,Estrela do Sul,MG,Minas Gerais,2026-03-06T01:13:36,Sudeste
143,Cliente 143,33426.24,Reprovada,-29.9841,-50.1322,31,432160,Tramandaí,RS,Rio Grande do Sul,2026-07-16T00:44:39,Sul
144,Cliente 144,19809.3,Aprovada,-10.961,-40.574,25,292140,Mirangaba,BA,Bahia,2026-04-25T19:58:30,Nordeste
145,Cliente 145,22522.77,Aprovada,-5.14988,-35.876,18,240950,Pedra Grande,RN,Rio Grande do Norte,2026-05-18T08:44:23,Nordeste
146,Cliente 146,35774.83,Pendenciada,-7.09359,-35.228,9,251530,Sapé,PB,Paraíba,2026-07-03T02:00:43,Nordeste
147,Cliente 147,41292.41,Aprovada,-15.2958,-49.4259,43,521935,Santa Isabel,GO,Goiás,2026-06-13T20:29:44,Centro-Oeste
148,Cliente 148,4602.77,Aprovada,-29.6349,-51.0064,44,431990,Sapiranga,RS,Rio Grande do Sul,2026-07-03T04:58:42,Sul
149,Cliente 149,41219.45,Aprovada,-7.68826,-37.0801,43,251220,Prata,PB,Paraíba,2026-05-29T20:27:13,Nordeste
150,Cliente 150,19243.61,Aprovada,-21.9578,-42.1328,24,330530,São Sebastião do Alto,RJ,Rio de Janeiro,2026-07-01T21:55:37,Sudeste
151,Cliente 151,6565.36,Aprovada,-3.53639,-43.917,9,211270,Vargem Grande,MA,Maranhão,2026-07-22T00:41:38,Nordeste
152,Cliente 152,37153.0,Aprovada,-5.91116,-35.271,21,240325,Parnamirim,RN,Rio Grande do Norte,2026-05-15T14:47:41,Nordeste
153,Cliente 153,27944.14,Pendenciada,-6.71387,-37.2027,42,241210,São João do Sabugi,RN,Rio Grande do Norte,2026-06-25T14:54:59,Nordeste
154,Cliente 154,12178.77,Aprovada,-12.2249,-44.4214,45,290970,Cristópolis,BA,Bahia,2026-02-24T11:58:43,Nordeste
155,Cliente 155,45191.06,Aprovada,-22.6412,-52.0905,25,411830,Paranapoema,PR,Paraná,2026-05-14T14:36:38,Sul
156,Cliente 156,3984.18,Aprovada,-7.03943,-35.6206,34,250030,Alagoa Grande,PB,Paraíba,2026-01-04T05:53:07,Nordeste
157,Cliente 157,18657.16,Aprovada,-22.238,-53.3437,56,500620,Nova Andradina,MS,Mato Grosso do Sul,2026-05-03T09:55:52,Centro-Oeste
158,Cliente 158,28680.97,Reprovada,-18.6091,-40.609,44,320515,Vila Pavão,ES,Espírito Santo,2026-07-24T20:44:42,Sudeste
159,Cliente 159,23065.61,Fraude,-6.21469,-57.7544,92,150375,Jacareacanga,PA,Pará,2026-04-02T22:28:18,Norte
160,Cliente 160,21590.68,Aprovada,-13.3485,-48.6853,52,521377,Montividiu do Norte,GO,Goiás,2026-04-28T18:43:21,Centro-Oeste
161,Cliente 161,11932.99,Fraude,-6.37496,-47.6643,86,171430,Nazaré,TO,Tocantins,2026-05-01T17:13:50,Norte
162,Cliente 162,14662.02,Aprovada,-19.5382,-49.4862,67,311110,Campina Verde,MG,Minas Gerais,2026-02-05T06:07:56,Sudeste
163,Cliente 163,351.63,Aprovada,-27.4555,-53.9296,16,432190,Três Passos,RS,Rio Grande do Sul,2026-07-16T15:03:12,Sul
164,Cliente 164,20129.11,Aprovada,-20.4437,-44.7673,70,311660,Cláudio,MG,Minas Gerais,2026-02-17T15:42:17,Sudeste
165,Cliente 165,27722.22,Aprovada,-2.21638,-45.3044,45,211245,Turilândia,MA,Maranhão,2026-07-18T05:09:21,Nordeste
166,Cliente 166,14259.28,Aprovada,-21.0176,-47.7606,17,352510,Jardinópolis,SP,São Paulo,2026-04-05T14:31:30,Sudeste
167,Cliente 167,14838.11,Aprovada,-6.40301,-41.7375,21,221130,Valença do Piauí,PI,Piauí,2026-07-21T12:14:39,Nordeste
168,Cliente 168,39901.04,Aprovada,-7.56803,-44.06,6,221063,Sebastião Leal,PI,Piauí,2026-07-04T03:49:53,Nordeste
169,Cliente 169,3789.36,Aprovada,-27.0702,-53.1586,24,421210,Palmitos,SC,Santa Catarina,2026-05-13T00:40:41,Sul
170,Cliente 170,2964.04,Aprovada,-17.887,-44.5735,41,313810,Lassance,MG,Minas Gerais,2026-04-13T02:22:41,Sudeste
171,Cliente 171,16902.61,Reprovada,-14.7948,-39.476,36,290330,Barro Preto,BA,Bahia,2026-01-21T12:44:37,Nordeste
172,Cliente 172,31748.15,Aprovada,-26.4246,-49.246,33,420450,Corupá,SC,Santa Catarina,2026-02-23T02:58:07,Sul
173,Cliente 173,25948.0,Aprovada,-27.2354,-48.6322,62,421800,Tijucas,SC,Santa Catarina,2026-07-14T12:13:43,Sul
174,Cliente 174,46595.98,Aprovada,-11.9648,-41.6374,22,292205,Mulungu do Morro,BA,Bahia,2026-04-30T09:09:07,Nordeste
175,Cliente 175,3691.8,Reprovada,-18.9807,-41.2235,31,312737,Goiabeira,MG,Minas Gerais,2026-03-13T09:20:13,Sudeste
176,Cliente 176,22374.5,Reprovada,-21.602,-43.7574,43,310680,Bias Fortes,MG,Minas Gerais,2026-01-24T03:19:31,Sudeste
177,Cliente 177,10588.09,Aprovada,-20.4827,-45.8049,1,315050,Pimenta,MG,Minas Gerais,2026-05-21T20:01:53,Sudeste
178,Cliente 178,25874.15,Aprovada,-26.781,-49.3593,19,420220,Benedito Novo,SC,Santa Catarina,2026-01-23T07:56:40,Sul
179,Cliente 179,47958.33,Fraude,-26.9257,-51.3407,96,420160,Arroio Trinta,SC,Santa Catarina,2026-01-15T20:20:59,Sul
180,Cliente 180,42743.9,Aprovada,-11.3033,-41.8535,29,291460,Irecê,BA,Bahia,2026-03-26T12:33:46,Nordeste
181,Cliente 181,841.67,Pendenciada,-6.10656,-37.6356,57,240930,Patu,RN,Rio Grande do Norte,2026-05-16T19:00:21,Nordeste
182,Cliente 182,23144.49,Pendenciada,-17.8143,-50.1653,57,521805,Porteirão,GO,Goiás,2026-05-27T10:39:29,Centro-Oeste
183,Cliente 183,12272.18,Aprovada,-10.558,-55.953,17,510621,Nova Canaã do Norte,MT,Mato Grosso,2026-05-03T20:49:00,Centro-Oeste
184,Cliente 184,32508.99,Aprovada,-27.6672,-52.6522,30,430613,Cruzaltense,RS,Rio Grande do Sul,2026-02-24T22:47:01,Sul
185,Cliente 185,29697.93,Reprovada,-22.1525,-42.9327,60,330515,São José do Vale do Rio Preto,RJ,Rio de Janeiro,2026-06-28T02:50:34,Sudeste
186,Cliente 186,17617.88,Fraude,-27.069,-51.6602,93,420400,Catanduvas,SC,Santa Catarina,2026-02-13T23:47:10,Sul
187,Cliente 187,800.81,Aprovada,0.71243,-51.4155,56,160053,Porto Grande,AP,Amapá,2026-05-28T10:02:18,Norte
188,Cliente 188,11555.99,Pendenciada,-22.6819,-44.3281,48,350490,Bananal,SP,São Paulo,2026-01-18T17:57:25,Sudeste
